Type,Type 2,Person,Category,Q1 2005,Q2 2005,Q3 2005,Q4 2005,Q1 2006,Q2 2006,Q3 2006,Q4 2006,Q1 2007,Q2 2007,Q3 2007,Q4 2007,Q1 2008,Q2 2008,Q3 2008,Q4 2008,Q1 2009,Q2 2009,Q3 2009,Q4 2009,Q1 2010,Q2 2010,Q3 2010,Q4 2010,Q1 2011
,,,,(R),(R),(R),(R),(R),(R),(R),(R),(R),(R),(R),(R),(R),(R),(R),(R),(R),(R),(R),(R),(R),(R),(R),(R),
Total,Total,Total,Total,"428,910","665,995","569,220","401,305","441,275","686,675","663,695","436,630","446,250","628,925","608,225","379,255","395,020","605,210","590,455","363,970","386,595","576,250","609,515","423,085","407,280","636,920","669,915","430,760","464,750"
Employment,Total,Total,Total,"60,550","75,095","58,985","48,835","62,770","74,070","62,270","50,525","60,345","58,055","49,535","37,895","44,125","50,700","48,440","41,450","41,485","44,385","36,945","32,880","38,790","46,015","43,355","32,600","39,845"
Study,Total,Total,Total (including Student Visitors),"29,020","47,080","102,400","28,920","33,155","53,210","115,065","32,895","34,795","53,600","122,490","35,310","39,930","52,680","139,220","42,385","43,535","42,735","178,255","76,560","54,535","52,715","171,585","55,930","66,020"
Family route,Total,Total,Total,"15,945","17,905","16,960","15,520","16,115","16,995","19,165","17,840","18,890","15,045","16,705","13,745","14,305","13,410","14,060","11,770","13,000","10,625","11,485","14,370","12,975","12,590","13,730","14,460","12,065"
Dep. joining / acc,Total,Total,Total,"6,850","8,385","7,395","5,790","5,890","7,935","8,015","5,720","7,880","11,590","12,280","10,340","11,780","12,330","10,905","6,450","4,785","4,870","3,920","3,910","3,310","4,275","3,960","3,820","3,655"
Other,Total,Total,Total,"316,545","517,535","383,480","302,235","323,340","534,465","459,180","329,645","324,335","490,635","407,220","281,965","284,880","476,095","377,830","261,910","283,790","473,635","378,910","295,370","297,675","521,325","437,290","323,950","343,170"
Employment,Tier 1 & pre-PBS equivalent,Main applicant,Total,"1,430","1,805","2,065","2,185","2,225","2,175","2,175","2,370","2,365","2,575","3,050","3,565","4,710","3,595","3,230","5,895","7,905","4,950","2,990","3,010","3,280","4,180","5,020","3,525","4,245"
Employment,Tier 1 & pre-PBS equivalent,Dependant,Total,Ð,715,"1,680","1,600","1,790","1,985","2,000","2,190","1,770","1,160","1,610","1,740","1,880","1,590","1,740","2,985","3,965","4,065","3,230","3,740","3,440","4,540","4,880","4,090","4,010"
Employment,Tier 2 & pre-PBS equivalent,Main applicant,Total,"15,910","17,230","18,230","14,840","17,005","18,625","20,670","16,625","18,615","17,025","17,250","12,525","13,465","14,165","16,090","12,120","9,330","8,690","9,575","8,690","10,220","10,305","11,450","7,955","8,985"
Employment,Tier 2 & pre-PBS equivalent,Dependant,Total,"10,920","12,555","12,375","9,825","12,060","12,535","13,810","11,115","10,760","7,195","7,135","5,005","5,175","4,990","5,845","6,050","6,480","6,975","7,245","6,280","6,795","7,040","8,010","6,425","6,665"
Employment,Tier 5 & pre-PBS equivalent,Main applicant,Total,"20,950","18,360","13,130","12,210","15,375","15,835","11,205","10,845","15,175","12,295","9,155","8,500","10,915","11,220","10,445","8,415","9,420","10,445","9,335","7,115","10,680","10,345","9,085","6,430","11,320"
Employment,Tier 5 & pre-PBS equivalent,Dependant,Total,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,Ð,60,140,300,260,280,315,370,315,285
Employment,Non-PBS,Main applicant,Total,"5,170","11,285","6,080","4,835","5,440","10,990","7,010","4,570","5,470","10,065","5,905","3,900","4,595","10,085","5,915","3,850","3,975","8,805","3,970","3,545","3,905","8,865","4,255","3,585","4,100"
Employment,Non-PBS,Dependant,Total,20,60,40,55,65,90,75,40,65,45,20,20,10,35,15,20,45,60,80,60,45,120,95,75,75
Employment,Other pre-PBS or non-PBS (2),Main applicant,Total,"6,150","13,080","5,380","3,285","8,815","11,835","5,330","2,770","6,125","7,690","5,405","2,635","3,380","5,020","5,160","2,115",305,245,225,180,145,305,195,195,160
Study,Tier 4 & pre-PBS equivalent,Main applicant,Total,"23,110","37,660","91,050","23,760","26,240","36,580","101,305","26,095","27,780","34,575","104,665","26,760","29,240","31,320","115,365","31,855","32,305","24,605","154,715","61,600","41,000","30,295","142,975","39,545","49,275"
Study,Tier 4 & pre-PBS equivalent,Dependant,Total,"3,225","3,165","5,900","3,715","4,005","3,990","7,980","4,920","3,850","3,580","7,780","4,065","4,740","4,880","9,720","4,860","5,315","3,860","11,585","9,400","6,570","5,045","12,145","8,000","7,870"
Employment,Tier 1 & pre-PBS equivalent,Main applicant,Tier 1 - General,:,:,:,:,:,:,:,:,:,:,:,:,:,265,"2,365","5,145","6,675","3,725","1,785","1,745","1,845","2,840","3,500","1,945","1,830"
Employment,Tier 1 & pre-PBS equivalent,Main applicant,Tier 1 - Investors,:,:,:,:,:,:,:,:,:,:,:,:,:,:,20,25,30,30,55,35,50,40,60,60,45
Employment,Tier 1 & pre-PBS equivalent,Main applicant,Tier 1 - Entrepreneurs,:,:,:,:,:,:,:,:,:,:,:,:,:,:,5,20,20,25,40,35,40,55,55,40,95
Employment,Tier 1 & pre-PBS equivalent,Main applicant,Tier 1 - Post Study,:,:,:,:,:,:,:,:,:,:,:,:,:,:,240,515,"1,065","1,015","1,050","1,115","1,295","1,215","1,385","1,465","2,255"
Employment,Tier 1 & pre-PBS equivalent,Main applicant,Tier 1 - Exceptional Talent,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Employment,Tier 1 & pre-PBS equivalent,Main applicant,Tier 1 - Other,:,:,:,:,:,:,:,:,:,:,:,:,:,:,Ð,Ð,Ð,Ð,Ð,Ð,Ð,*,Ð,Ð,Ð
Employment,Tier 1 & pre-PBS equivalent,Main applicant,International Graduates Scheme,:,:,:,:,:,:,:,:,:,:,245,455,875,540,50,5,5,5,5,Ð,Ð,*,:,:,:
Employment,Tier 1 & pre-PBS equivalent,Main applicant,Other permit free employment - Highly skilled (3),"1,430","1,805","2,065","2,185","2,225","2,175","2,175","2,370","2,365","2,575","2,805","3,105","3,835","2,790",545,180,110,150,55,80,55,25,20,15,20
Employment,Tier 1 & pre-PBS equivalent,Dependant,Tier 1 - General,:,:,:,:,:,:,:,:,:,:,:,:,:,165,930,"1,995","2,915","2,750","2,160","2,550","2,440","3,465","3,805","3,115","3,055"
Employment,Tier 1 & pre-PBS equivalent,Dependant,Tier 1 - Investors,:,:,:,:,:,:,:,:,:,:,:,:,:,:,50,45,65,55,100,65,70,80,110,110,75
